,Classifier,Data set,Accuracy,Explainer,Stability,Attribution Discrepancy,Top-10 Presence,Top-10 Similarity,Time
0,Logistic Regression,RTG,0.76,['shap'][1.0]Ensemble=False,8268.730514041592,8113.297406598389,9,52.0,9.339568563271314
1,Logistic Regression,RTG,0.76,['lime'][1.0]Ensemble=False,2490.031295828203,4627.243368372408,7,26.2,6.631485514109954
2,Logistic Regression,RTG,0.76,['shap'][1.0]Ensemble=False,7293.490066858523,7458.066916344458,9,51.0,29.075624873884955
3,Logistic Regression,RTG,0.76,['lime'][1.0]Ensemble=False,1531.5111398136796,2695.6904185867616,8,47.0,13.49830615533283
4,Logistic Regression,RTG,0.76,['shap'][1.0]Ensemble=True,7348.896716504122,7310.69759622694,8,32.86666666666667,87.14745994212572
5,Logistic Regression,RTG,0.76,['lime'][1.0]Ensemble=True,4977.169400077454,5920.501019939577,8,27.333333333333336,113.18710135193541
6,Logistic Regression,RTG,0.76,['shap'][1.0]Ensemble=True,7197.649527891002,7283.976809442336,8,32.86666666666667,357.05909536341204
7,Logistic Regression,RTG,0.76,['lime'][1.0]Ensemble=True,4176.288279659368,5659.29671617926,8,32.86666666666667,146.69852793309838
8,Logistic Regression,RBF,1.0,['shap'][1.0]Ensemble=False,8400.350018542198,7727.881375916404,10,16.200000000000003,10.171280236926396
9,Logistic Regression,RBF,1.0,['lime'][1.0]Ensemble=False,1463.9945016322215,3590.5296880565606,6,10.133333333333333,7.097508515743539
10,Logistic Regression,RBF,1.0,['shap'][1.0]Ensemble=False,7376.398356289159,6826.429526348242,10,18.633333333333333,37.203446937305856
11,Logistic Regression,RBF,1.0,['lime'][1.0]Ensemble=False,715.9918046263709,1661.379658335299,7,19.0,14.377946211525705
12,Logistic Regression,RBF,1.0,['shap'][1.0]Ensemble=True,7208.414739800882,6924.672867039547,7,12.135714285714286,109.07993492037058
13,Logistic Regression,RBF,1.0,['lime'][1.0]Ensemble=True,2672.70471365331,3647.1098907077194,4,8.5,68.90629943279782
14,Logistic Regression,RBF,1.0,['shap'][1.0]Ensemble=True,6931.54316486126,6782.197318685395,7,12.135714285714286,417.3583237726358
15,Logistic Regression,RBF,1.0,['lime'][1.0]Ensemble=True,1658.1781084318163,2688.3755044134487,7,11.033333333333333,148.13288823467445
16,Logistic Regression,Spambase,0.88,['shap'][1.0]Ensemble=False,7168.424679776214,8148.041228464055,7,14.059523809523808,3.8937996878392167
17,Logistic Regression,Spambase,0.88,['lime'][1.0]Ensemble=False,2644.3143535977742,4006.6866807497495,6,18.366666666666667,6.494532246142626
18,Logistic Regression,Spambase,0.88,['shap'][1.0]Ensemble=False,6333.006345684259,7892.956843745763,7,14.516666666666666,13.582916053244844
19,Logistic Regression,Spambase,0.88,['lime'][1.0]Ensemble=False,1509.7760671976234,3084.454509947551,5,15.5,9.0062717790198
